text, answer
place an order for 100 usd, {order: 100}
place an order for 100 usd, {order: 100}
place an order for 100 usd, {order: 100}
place an order for 100 usd, {order: 100}
place an order for 100 usd, {order: 100}
place an order for 100 usd, {order: 100}
place an order for 100 usd, {order: 100}
place an order for 100 usd, {order: 100}
place an order for 100 usd, {order: 100}
place an order for 100 usd, {order: 100}
place an order for 100 usd, {order: 100}
place an order for 100 usd, {order: 100}
place an order for 100 usd, {order: 100}
place an order for 100 usd, {order: 100}
place an order for 100 usd, {order: 100}
place an order for 100 usd, {order: 100}
place an order for 100 usd, {order: 100}
place an order for 100 usd, {order: 100}
place an order for 100 usd, {order: 100}
place an order for 100 usd, {order: 100}
place an order for 100 usd, {order: 100}
place an order for 100 usd, {order: 100}
place an order for 100 usd, {order: 100}
place an order for 100 usd, {order: 100}
place an order for 100 usd, {order: 100}
place an order for 100 usd, {order: 100}
place an order for 100 usd, {order: 100}
place an order for 100 usd, {order: 100}
place an order for 100 usd, {order: 100}
place an order for 100 usd, {order: 100}
place an order for 100 usd, {order: 100}
place an order for 100 usd, {order: 100}
place an order for 100 usd, {order: 100}
place an order for 100 usd, {order: 100}
place an order for 100 usd, {order: 100}
place an order for 100 usd, {order: 100}
place an order for 100 usd, {order: 100}
place an order for 100 usd, {order: 100}
place an order for 100 usd, {order: 100}
place an order for 100 usd, {order: 100}
place an order for 100 usd, {order: 100}
place an order for 100 usd, {order: 100}
place an order for 100 usd, {order: 100}
place an order for 100 usd, {order: 100}
place an order for 100 usd, {order: 100}
place an order for 100 usd, {order: 100}
place an order for 100 usd, {order: 100}
place an order for 100 usd, {order: 100}
text, answer
place an order for 100 usd, {order: 100}
place an order for 100 usd, {order: 100}
place an order for 100 usd, {order: 100}
place an order for 100 usd, {order: 100}
place an order for 100 usd, {order: 100}
place an order for 100 usd, {order: 100}
place an order for 100 usd, {order: 100}
place an order for 100 usd, {order: 100}
place an order for 100 usd, {order: 100}
place an order for 100 usd, {order: 100}
place an order for 100 usd, {order: 100}
place an order for 100 usd, {order: 100}
place an order for 100 usd, {order: 100}
place an order for 100 usd, {order: 100}
place an order for 100 usd, {order: 100}
place an order for 100 usd, {order: 100}
place an order for 100 usd, {order: 100}
place an order for 100 usd, {order: 100}
place an order for 100 usd, {order: 100}
place an order for 100 usd, {order: 100}
place an order for 100 usd, {order: 100}
place an order for 100 usd, {order: 100}
place an order for 100 usd, {order: 100}
place an order for 100 usd, {order: 100}
place an order for 100 usd, {order: 100}
place an order for 100 usd, {order: 100}
place an order for 100 usd, {order: 100}
place an order for 100 usd, {order: 100}
place an order for 100 usd, {order: 100}
place an order for 100 usd, {order: 100}
place an order for 100 usd, {order: 100}
place an order for 100 usd, {order: 100}
place an order for 100 usd, {order: 100}
place an order for 100 usd, {order: 100}
place an order for 100 usd, {order: 100}
place an order for 100 usd, {order: 100}
place an order for 100 usd, {order: 100}
place an order for 100 usd, {order: 100}
